Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
quest_tools_of_citizenship_name,Quest,Quest Info,,,"Declare your citizenship to White River",,"Erkläre deine Mitgliedschaft zu White River","Declare sua cidadania para Rio Branco","Déclarez votre citoyenneté à White River","Dichiarare la tua cittadinanza al fiume Bianco","あなたの市民権をホワイト・リバーに宣言","당신의 시민권을 화이트 강으로 선언하다.","Zadeklaruj swoje obywatelstwo Białej Rzeki","Declare sua cidadania para Rio Branco","Объявить свое гражданство Белой Ривер","Vatandaşlığını Beyaz Nehir 'e bildirin.","宣布您的公民身份到白河","把你的公民身份宣告給白河","Declare su ciudadanía a White River"
quest_tools_of_citizenship_subtitle,Quest,Quest Info,,,"Declare your citizenship to White River",,"Erkläre deine Mitgliedschaft zu White River","Declare sua cidadania para Rio Branco","Déclarez votre citoyenneté à White River","Dichiarare la tua cittadinanza al fiume Bianco","あなたの市民権をホワイト・リバーに宣言","당신의 시민권을 화이트 강으로 선언하다.","Zadeklaruj swoje obywatelstwo Białej Rzeki","Declare sua cidadania para Rio Branco","Объявить свое гражданство Белой Ривер","Vatandaşlığını Beyaz Nehir 'e bildirin.","宣布您的公民身份到白河","把你的公民身份宣告給白河","Declare su ciudadanía a White River"
quest_tools_of_citizenship_description,Quest,Quest Info,,,"Declare your intention to join the White River settlement by crafting a +Declaration of citizenship",,"Erkläre deine Absicht Mitglied der White River Community zu werden. Stelle eine +Erklärung her.","Declare a sua intenção de se juntar ao assentamento Rio Branco ao crafting a + Declaração de cidadania","Déclarez votre intention de rejoindre le règlement de la rivière White par l'élaboration d'une Déclaration de citoyenneté","Dichiarare la propria intenzione di aderire all'insediamento del fiume Bianco mediante l'artigianato a + Dichiarazione di cittadinanza","市民権の宣言を策定することによってホワイト・リバー開拓地に参加するという意図を宣言する","시민권 선언을 작성하여 화이트 강 정착에 참여하겠다고 선언하다.","Zadeklaruj swój zamiar przystąpienia do osady Białej Rzeki poprzez crafting a + Deklaracja obywatelstwa","Declare a sua intenção de se juntar ao assentamento Rio Branco ao crafting a + Declaração de cidadania","Заявляем о своем намерении присоединиться к поселению Белой реки путем разработки декларации о гражданстве","Beyaz nehir yerleşimine katılmak niyetinizi beyan etmek için bir + vatandaşlık bildirimi hazırlayarak","宣布您打算加入 White River 解决方案，制定《公民身份宣言》","通過制定公民身份宣言來宣告你加入白河定居點的意圖","Declare su intención de unirse al acuerdo del Río Blanco mediante la elaboración de una + Declaración de ciudadanía"
quest_tools_of_citizenship_offer,Quest,Quest Info,,,"They are watching. Declare your citizenship with White River settlements by crafting a +Declaration Of citizenship. Use your +Declaration of citizenship to start the quest to obtain your +White River citizen card. Your citizen's card can be used as an ingredient to craft quest-starter items for White River citizen quests.",,"Sie schauen. Stelle eine +Erklärung her um deine Absicht zu beweisen. Nutze die +Erklärung um eine Quest zu starten und erhalte eine +White River Mitgliedschaft-Karte. Die Karte kann genutzt werden um Starter-Quests herzustellen","Eles estão assistindo. Declare sua cidadania com assentamentos de Rio Branco ao crafting a + Declaração de cidadania. Use a sua + Declaração de cidadania para iniciar a busca para obter o seu cartão de cidadão + Rio Branco. O cartão do seu cidadão pode ser usado como ingrediente para artesanato-itens iniciantes para questes cidadãs do Rio Branco.","Ils regardent. Déclarez votre citoyenneté aux établissements de White River par l'élaboration d'une déclaration de citoyenneté. Utilisez votre + Déclaration de citoyenneté pour commencer la quête pour obtenir votre carte de citoyen + White River. La carte de votre citoyen peut être utilisée comme ingrédient pour fabriquer des articles de quêtes pour les quêtes de citoyens de White River.","Ci stanno guardando. Dichiara la tua cittadinanza con gli insediamenti di White River mediante l'artigianato a + Dichiarazione di cittadinanza. Usa la tua + Dichiarazione di cittadinanza per iniziare la quest per ottenere il tuo biglietto cittadino + White River. La tessera del vostro cittadino può essere utilizzata come ingrediente per le imbarcazioni da caccia all'artigianato per le missioni cittadine del Fiume Bianco '.","「やつらは見ている。 「市民権の宣言」 + 「市民権の宣言」により、ホワイト・リバーの居住地とともに +ホワイト・リバーの市民カードを取得するには、市民権の +宣言を使用してください。 あなたの市民カードはホワイト川市民のクエストのためのクエスト・スターター用品をクラフトするための材料として使用することができます。」","그들은 지켜보고 있습니다. 시민권을 가지고 시민권을 선언함으로써 시민권을 선언합니다. +화이트 강 시민증을 얻기 위한 퀘스트를 시작하려면 사용자+선언을 사용하십시오. 당신의 시민 카드는 화이트 리버 시민 퀘스트를 위한 퀘스트-스타터 아이템으로 사용될 수 있습니다.","Oni patrzą. Zadeklaruj swoje obywatelstwo z osiedla Białego Rzepka poprzez crafting a + Deklaracja obywatelstwa. Użyj swojej + Deklaracji obywatelskiej, aby rozpocząć poszukiwanie karty obywatelskiej + White River. Karta obywatela może być stosowany jako składnik umiejętności rzemielaków-pozycje startowe dla obywateli White River questy.","Eles estão assistindo. Declare sua cidadania com assentamentos de Rio Branco ao crafting a + Declaração de cidadania. Use a sua + Declaração de cidadania para iniciar a busca para obter o seu cartão de cidadão + Rio Branco. O cartão do seu cidadão pode ser usado como ingrediente para artesanato-itens iniciantes para questes cidadãs do Rio Branco.","-Они смотрят. Объявите свое гражданство населенными пунктами Белых рек путем разработки декларации о гражданстве. Используйте свое + Заявление о гражданстве, чтобы начать поиски, чтобы получить вашу карточку гражданина Уайт Ривер. Карточка вашего гражданина может быть использована в качестве ингредиента для крафт-стартеров для граждан Белой Ривер '.","İzliyorlar. Bir + vatandaşlık bildirgesi hazırlayarak Beyaz River yerleşimleri ile vatandaşlıklarınızı ilan edin. + Beyaz River vatandaş kartınızı elde etme arayışınızı başlatmak için + Vatandaşlık Bildiriminizi kullanın. Vatandaşınızın kartı, Beyaz River vatandaşı kuyruklamaları için araştırma başlatıcı maddelerinin bir maddesi olarak kullanılabilir.","他们正在观看。 通过制定 ' 公民身份声明 ' 声明您与 White River 定居点的公民身份。 使用您的公民身份声明，开始寻求获得您 +White River 市民卡。 您的居民卡可用作为 White River can quests 的工种追求 - 入门模板项的成分。","「他們在看。 通過制定一個 ' 公民身份宣言 ' 來宣佈你和白河定居點的公民身份。 使用您的「公民身份聲明」，即可開始尋求取得您的 +白河公民卡。 您的公民卡可以作為「白河公民任務」的工具 -- 啟動項目的成分。」","Ellos están mirando. Declare su ciudadanía con los asentamientos del Río Blanco mediante la elaboración de una + Declaración de ciudadanía. Utilice su + Declaración de ciudadanía para comenzar la búsqueda de obtener su tarjeta de ciudadano + White River. La tarjeta de su ciudadano se puede utilizar como ingrediente para elaborar artículos de iniciación para misiones de ciudadanos de White River."
quest_tools_of_citizenship_statement,Quest,Quest Info,,,"Craft the +Declaration of Citizenship",,"Stelle eine +Erklärung zur Mitgliedschaft her","Craft a + Declaração de cidadania","Artisanat + Déclaration de citoyenneté","Qualifica la Dichiarazione di cittadinanza","「市民権の +宣言」をクラフトします。","시민권의+선언을 작성합니다.","Umiejętność + deklaracja obywatelstwa","Craft a + Declaração de cidadania","Ремесло + заявление о гражданстве","Craft the + Declaration of vatandaşlık","公民身份宣言","「職業是公民身份的宣言」","Artesanía + Declaración de ciudadanía"
quest_tools_of_citizenship_group,Quest,Quest Info,,,"White River - Tools of Citizenship, Become a Citizen",,"White River - Werkzeuge der Gemeinschaft - Mitglied werden","Rio Branco-ferramentas de cidadania, tornar-se um cidadão","White River-outils de citoyenneté, devenir un citoyen","White River - strumenti di cittadinanza, diventare cittadino","ホワイト・リバー - 市民権のツール、市民になる","시민권의 화이트 강 도구, 시민이 되다","Biała Rzeka-narzędzia obywatelskie, zostań obywatelem","Rio Branco-ferramentas de cidadania, tornar-se um cidadão","Белая река-инструменты гражданства, стать гражданкой","Beyaz ırmak-vatandaşlık araçları, bir vatandaş olun","白河 - 公民身份工具，成为公民","「白河 - 具公民身份的工具，成為公民」","Río Blanco-herramientas de ciudadanía, convertirse en un ciudadano"
questdialog_tools_of_citizenship,Quest,Dialogs,,,"May I become a citizen?",,"Wir wird man Mitglied?","Que eu me torne um cidadão?","Puis-je devenir citoyen?","Può diventare un cittadino?","「私は一市民になりますか ? 」","제가 시민이 될 수 있을까요?","Czy mogę stać się obywatelem?","Que eu me torne um cidadão?","Могу я стать гражданином?","Bir vatandaş olabilir miyim?","愿我成为公民吗 ?","「我可以成為一個公民嗎？」","¿Puedo convertirme en ciudadano?"
quest_toc_10z_name,Quest,Quest Info,,,"Put 10 fallen citizens to rest",,"Töte 10 zombies","Coloque 10 cidadãos caídos para descansar","Mettre 10 citoyens tombés au repos","Metti 10 cittadini caduti a riposo","10 人の落人を休ませる","죽은 시민 10명을 쉬게 하라","Umieść 10 poległych obywateli na odpoczynek","Coloque 10 cidadãos caídos para descansar","Посад 10 павших граждан на отдых","10 düşmüş vatandaşıyı dinlendirin.","放 10 个倒下的市民","讓 10 個墮落的公民休息","Pongan a 10 ciudadanos caídos a descansar"
quest_toc_10z_subtitle,Quest,Quest Info,,,"Put 10 fallen citizens to rest",,"Töte 10 zombies","Coloque 10 cidadãos caídos para descansar","Mettre 10 citoyens tombés au repos","Metti 10 cittadini caduti a riposo","10 人の落人を休ませる","죽은 시민 10명을 쉬게 하라","Umieść 10 poległych obywateli na odpoczynek","Coloque 10 cidadãos caídos para descansar","Посад 10 павших граждан на отдых","10 düşmüş vatandaşıyı dinlendirin.","放 10 个倒下的市民","讓 10 個墮落的公民休息","Pongan a 10 ciudadanos caídos a descansar"
quest_toc_10z_completion,Quest,Quest Info,,,"Holy smokes, you survived and have proved your worth and entry into the White River community. Here is your White River citizen card and choice of some spare items we have laying around.",,"Heilige Rauche, Sie haben überlebt und haben Ihren Wert und die Einreise in die Weiße Fluss-Gemeinschaft bewiesen. Hier ist Ihre White River Bürgerkarte und die Auswahl an Ersatzteilen, die wir herumlegen.","Santos sagrados, você sobreviveu e provou o seu valor e entrada na comunidade do Rio Branco. Aqui está o seu cartão de cidadão Rio Branco e escolha de alguns itens sobressalentes que temos por aí.","Saint-fumeur, vous avez survécu et avez prouvé votre valeur et votre entrée dans la communauté de White River. Voici votre carte de citoyen de la rivière White et le choix de certains articles de rechange que nous avons déposé.","Holy smokes, sei sopravvissuto e hai dimostrato il tuo valore e l'ingresso nella comunità del fiume Bianco. Ecco il tuo biglietto cittadino del Fiume Bianco e la scelta di alcuni pezzi di ricambio che abbiamo in giro '.","「ホーリー・スモークスは生き延びて、あなたの価値を証明し、ホワイト川のコミュニティに入ることができました。 ホワイト・リバー市民カードと、私たちがお金を回している予備品を選ぶことができます。」","세상에, 당신은 살아남았고, 당신의 가치와 백인 강 사회 진출을 증명했습니다. 이곳은 여러분의 화이트 강 시민카드이며, 우리가 주변에 놓고 있는 일부 예비 물품들을 선택할 수 있습니다.","Święty pali, ty przeżył i udowodniłaś swoją wartość i wejście do społeczności Białej Rzeki. Oto twoja legitymacja obywatelska White River i wybór części zamiennych, które otaczamy.","Santos sagrados, você sobreviveu e provou o seu valor e entrada na comunidade do Rio Branco. Aqui está o seu cartão de cidadão Rio Branco e escolha de alguns itens sobressalentes que temos por aí.","-Святые куры, вы выжили и доказали свою ценность и проникли в сообщество Белых. Вот ваша карта гражданина 'Белая река' и выбор некоторых запчастей, которые мы прокладываем '.","Kutsal sigaralar, hayatta kaldın ve White River toplulukuna girdiğin şeyi kanıtlamışsın. İşte Beyaz River 'daki vatandaş kartınız ve etrafta doyacağımız bazı yedek eşyaların seçimi.","圣烟，你活了下来，证明了你的价值，进入白河社区。 以下是您的白河公民卡，以及我们周围的一些闲置物品的选择。","「神聖的煙，你活了下來，證明了你的價值，進入白河社區。 以下是您的白河市民卡，以及我們所鋪設的一些備用項目的選擇。」","Holy smokes, usted sobrevivió y ha demostrado su valía y entrada en la comunidad del Río Blanco. Aquí está su tarjeta de ciudadano del Río Blanco y la elección de algunos artículos de repuesto que hemos tendido alrededor."
